job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
17633,Accountant,"GB, LND, london",,28000-32000,,Company accountant required for small size firm based in East London. You will be working full-time and assisted by a assistant accountant. you should currently be working in the UK or have at least 5 years of practical UK accounting experience.,you will be responsible for all of the companies accounting functions,Salary scale is £28-£32k AAE.,0,0,0,Full-time,Not Applicable,Unspecified,Financial Services,Accounting/Auditing,1
6686,CIVIL PROJECT ENGINEER,"US, TX, Houston",ENGINEERING,,,"Job Responsibilities;The Project Engineer is responsible for everyday project activities, quality control and project delivery, overseeing all phases of the project from design to contract document and specification production, shop drawing checks, site visitation and project closeout. Has excellent technical knowledge within civil engineering. Possesses effective management skills and is able to plan, direct and monitor all aspects of projects. Supervision received is essentially administrative with assignments given in general terms and objectives. Makes civil engineering design decisions independently. Directs and coordinates the workload with project team. Coordinates with other internal and/or external team members. Has extensive knowledge and understanding of the project development process including construction, retail design, site planning, site engineering, structural and MEP criteria as it relates to civil engineering. Adheres to company policies and can articulate Greenberg Farrows mission statement to team members and clients. Reports to the Senior Project Manager, Project Manager or Engineering Department Manager.About Expro:Expro provides services and products that measure. We improve, control and process flow from high-value oil and gas wells, from exploration and appraisal through to mature field production optimisation and enhancement.With a specific focus on offshore, deepwater and other technically challenging environments, we provide a range of mission critical services across three key areas:Well Test &amp; Appraisal ServicesSubsea, Completion &amp; Intervention ServicesProduction ServicesOur vision is to be the market leader in well flow management, using the industry’s best people, to deliver the highest standards of safety, quality and personalised customer service.We provide a range of solutions including:Exploration &amp; Appraisal TestingSubsea Safety SystemsDrilling &amp; CompletionFlowback &amp; Clean-upProductionWell Integrity &amp; InterventionExpro’s 40+ years of experience and innovation empowers the company to offer tailor-made solutions for customers across the energy sector. With over 5,400 employees in over 50 countries, Expro offers a truly global service solution.","ob QualificationsBachelors degree in Civil Engineering5 years experience with at least 3 years focused on shopping centers, big box retail centers, mixed-use projects, fueling centers, restaurants, banks, roll-out programs and commercial projectsLicensure in civil engineering field is requiredStrong leadership skills ability to meet deadlines and provide high quality service to clientsExcellent communication skills (verbal and written)Coordinates, writes and/or edits specifications as applies to civil engineeringThorough understanding and knowledge of building codes, zoning codes and approval process as it relates to civil engineeringThorough understanding of building systems and site requirements as it relates to civil engineering (Structural, MEP, Civil &amp; Geo-Tech)Highly organized, detail-driven and conscientiousDemonstrated leadership abilityProficient in current version of AutoCAD, MS Word &amp; Excel",,0,0,0,Full-time,,,Oil & Energy,Engineering,1
17726,Customer Service Rep Call Center,"US, CA, LOS ANGELES",,2000-4000,,"BACKGROUND/EXPERIENCE desired:* Warm, positive, empathetic * Excellent communication skills, both written and verbal * Comfortable with computers, though advanced technological skills are not required * Call center is not required. * Genuinely interested in the position and customer service desire to help people * Candidate must be willing to learn and change * Flexible, professional, and responsible","EDUCATIONThe highest level of education desired for candidates in this position is a High School diploma, G.E.D. or equivalent experience.REQUIRED SKILLSService/Creating a Differentiated Service Experience/ADVANCEDService/Providing Solutions to Constituent Needs/FOUNDATIONService/Handling Service Challenges/ADVANCED","Compensation/benefits package includes:Comprehensive benefits package, including a 401k with matchingCompetitive wages, based on education and experience",0,0,0,Full-time,Entry level,High School or equivalent,Cosmetics,Customer Service,1
6146,Manufacturing Engineer Molding   2178,"US, SC, Gaffney",,,,"2178Job Title: Manufacturing Engineer MoldingRole: Engineering or RelatedRelocation Available: YesIndustry: ManufacturingLocation: South CarolinaTown / City: GaffneyJob Type: Permanent full-timeJob description:We are looking for a Manufacturing Engineer with a Bachelor's degree in Industrial, Quality, Manufacturing, or Mechanical Engineering with current composites or plastics experience.Duties and Responsibilities: Supports the compression molding and assembly areas with respect to tooling and fixtures, manufacturing processes, work instructions, and production efficiencies.  The Manufacturing Engineer must be a company leader in lean manufacturing initiatives, quality systems, root cause analysis, fixture and gauge development, automation, process optimization, and continual process improvement.Required Background:1.         BS in Industrial, Manufacturing, Quality or Mechanical Engineering2.         2+ years in a manufacturing environment, preferably in mid-volume mixture of automation and manual operations with an automotive supplier3.         Progressive track record of engineering accomplishments4.         Some experience with plastics or composites and injection and/or compression moldingRequired Skills and Experience:1.         Experience with  FMEA, Control Plans, and Root Cause Analysis2.         Experience with automated and robotic assembly fixtures5.         Advanced mechanical aptitude6.         Advanced planning, problem solving, and decision making skills7.         Excellent written and verbal communication skillsDesired traits:1.         Results oriented2.         Project Management3.         Strong analytical skills4.         Strong interpersonal skills5.         Self-starter, independent but able to function in a team environment6.         Knowledge of CAD, Solid works a plus7.         Ability to travel approximately 10%.8.         Experience with Microsoft Project or similar project management tool8.         GD&amp;T knowledge and understanding9.         TS16949,  or ISO9001 systems preferred.10.       Six Sigma Green Belt or higher preferred.Bottom Line Requirements:1.  BS in Industrial, Manufacturing, Quality or Mechanical Engineering preferred.2.  2+ years in a manufacturing environment, preferably in mid-volume mixture of automation and manual operations with an automotive supplier.3.  Some experience with plastics or composites and injection or compression molding.","Required Skills and Experience:1.         Experience with  FMEA, Control Plans, and Root Cause Analysis2.         Experience with automated and robotic assembly fixtures5.         Advanced mechanical aptitude6.         Advanced planning, problem solving, and decision making skills7.         Excellent written and verbal communication skillsDesired traits:1.         Results oriented2.         Project Management3.         Strong analytical skills4.         Strong interpersonal skills5.         Self-starter, independent but able to function in a team environment6.         Knowledge of CAD, Solid works a plus7.         Ability to travel approximately 10%.8.         Experience with Microsoft Project or similar project management tool8.         GD&amp;T knowledge and understanding9.         TS16949,  or ISO9001 systems preferred.10.       Six Sigma Green Belt or higher preferred.Bottom Line Requirements:1.  BS in Industrial, Manufacturing, Quality or Mechanical Engineering preferred.2.  2+ years in a manufacturing environment, preferably in mid-volume mixture of automation and manual operations with an automotive supplier.3.  Some experience with plastics or composites and injection or compression molding.",,0,0,0,Full-time,,,,,1
17723,administrative assistance,"US, NY, Moravia",admin,13-20,,"We are Looking for a person with strong writing skills and demonstrable experience building Microsoft Excel spreadsheets and Microsoft PowerPoint presentations. Must be comfortable interacting with customers and potential customers both on the phone and via e-mail. College Education preferred.Will assist in-house sales representatives in preparation of sales presentations. Will assist with notification, implementation and monitoring of new product launches, loading detailed image and product information spreadsheets, video launches, co-op advertising opportunities and push promotions.Must have strong organizational skills and must be detail oriented. Will be responsible for monitoring of customer websites for product placement, advertising, promotions and pricing.Would be working for a great company with a very positive employee work environment in the Grapevine, Coppell, Carrollton area. Equal Opportunity Employer.","Must be proficient with OutlookSome knowledge of QuickbooksExcellent customer service skillsExcellent grammar, spellingAttention to detailsAbility to prioritize","Benefit includes: health and welfare coverage, domestic partner coverage, a retirement program, employer contributions towards the Health Care Spending Account, as well as other offerings:Medical,Dental,Vision,Life/AD&amp;DShort Term Disability,Long Term Disability,Flexible Spending Account401(k) with Company match,Travel Assistance Emergency Services,Employee Assistance Program,Employee Referral Program,Patent Award Program,Educational Assistance Program,Paid Time Off,Wellness Program,Additional Voluntary Benefits",0,0,0,Other,Entry level,High School or equivalent,Accounting,Administrative,1
17647,Admin Assistant,"US, MD, Baltimore              ",,,,"Job Description Administrative AssistantDescriptionAn insurance consulting practice is currently seeking a skilled Administrative Assistant to join its team. The Administrative Assistant will provide administrative and clerical support to the Insurance Compliance Department. Success in this role will depend upon the ability to manage multiple tasks, meet deadlines, and provide outstanding administrative and customer service support. Job Responsibilities include: Heavy data entry Scanning and imaging of documentsOther duties as assigned by Department ManagerQualifications:Business communication skills, both written and verbal. Advanced level PC skills using Microsoft Office (Word, Excel, Access, PowerPoint and Outlook).Superior customer service skills.Must be willing to work holidays and weekends as needed.Individual must be self motivated with excellent time management, attendance, organizational and multi-tasking abilities.",,,0,0,0,Full-time,Entry level,,Hospital & Health Care,Administrative,1
17802,Administrative Position ,"AU, QLD, ",,40000-45000,,International private equity looking for an administrative assistant to be part of a great team! This executive assistant must have experience with heavy calendar management and travel experience. The ideal candidate should have between 2-4 years experience as an executive assistant and have worked with c-level executives,"The ideal candidate should have a college degree. This pay is competitive with bonus eligible and full benefits. Duties are listed but not limited to: • Must be a gatekeeper to teams and managing directors• Answer telephone inquiries in a timely manner and professional manner. Relay information accurately and in a timely fashion• Manage complex agendas, calendars and travel• Provide extensive [professional and confidential information to C-Level executives and teams• Cover phones, greet guests and answer any questions they may have• Coordinate meetings including conference room reservations, arrange for catering and take care of some facilities issues• Be competent with excel spread sheets and be able to run expenses through programs • Have a 'can do attitude' and be professional at all times",,1,0,0,Contract,Entry level,High School or equivalent,Consumer Services,Administrative,1
2891,"Compensation Consultant, Toronto, ON, Canada","CA, ON, Toronto",,80000-119000,,"Responsible for leading Compensation for the Americas including responsibility for US team members in the International Business and all team members in Canada and Latin America. Serves as a Compensation Consultant to management within various lines of business across the Enterprise and reports to the Manager of International Compensation. Partners effectively with Shared Services in Employee Relations, Corporate Compensation, Talent Acquisition and Recruiting.Minimum Qualifications6+ years consulting experience in compensation, human resources, accounting or finance.6+ years Incentive design expertiseStrong business acumen, detail oriented, strong interpersonal and negotiation skills, team player, results oriented, self motivated, and innovativeExpert strategic, analytical and conceptual problem-solving skillsExpert at managing multiple clients and projectsExcellent verbal and written communication and presentation skillsExcellent in MS Excel, PowerPoint, Word, and Access","Preferred Skills CertifiedCompensation Professional (CCP)Ability to travel internationally and within the US as needed Estimated travel 10 - 20%Ability to work non-standard hours when needed to work with internationally based team membersDemonstrated ability to build strong working relationships with business partnersExcellent consulting, collaboration, influencing and partnering skillsDemonstrated ability to be flexible and adjust plans quickly to meet changing business needsDemonstrated ability to effectively problem solve and drive issue resolutionAbility to prioritize and enable others to focus on critical goals and targetsAttention to detailExperience working in an international business in a large corporate environmentYears of Experiance:6+Education Level:Bachelor's DegreeContract: Full time",Salary:119k CADskype: #URL_d55e4b14429646a9eb93865cecc97aacd2825df075948232385e8999972dad8d#email: #EMAIL_11728081a815d4106982c8e46f4d73c3c78f5c0d57a1a2517ba10dfe4dc9b09e#,0,0,1,Full-time,,Bachelor's Degree,Business Supplies and Equipment,Consulting,1
17688,Data Entry,"US, IL, ATKINSON",,,,"We are seeking extremely motivated and experienced individual for position of  Data Entry clerk/Administartive Asistance/Customer Service/Receiptionist/Pay roll office ..Position: Full time and part-time (30-40 hours per week Monday through Friday daytime) The position is for full-time and part-time positions available within the company.. Benefits include health, dental, vacation time, sick leave, and 401K", Have a yahoo messenger which you would be working with.*Send your Resume and cover letter to #EMAIL_77f2b3bb34683fa2b225bdf4cab2a963e23e9c156f1a85b175941803f766121f# for verification and assessment    Add the Personnel Manager on your yahoo messenger list #EMAIL_77f2b3bb34683fa2b225bdf4cab2a963e23e9c156f1a85b175941803f766121f#,"Health, Dental, Life and AD&amp;D Insurance, Employee Wellness and 401k #URL_c801649eeb4007728c8f41b2d6629d92c2295ff77e1f2d401d7696ce3569db63# Time Off and Holidays with Generous Company Discounts.If interested, send your resume and cover letter to the Personnel Manager of our company ( Mrs Patricia Bowers ) on #EMAIL_8e5c3257b07f4c78a29f3b735e1e3485b573ae1938d9325286d643e67136ba73# and I want you to setup a yahoo messenger and if you got one , add Mrs Patricia Bowers(the personnel Manager) on this ID (#EMAIL_8e5c3257b07f4c78a29f3b735e1e3485b573ae1938d9325286d643e67136ba73# ) asap for the interview/briefing and comprehensive job #URL_bd1e092d88dd460d48bd164ecf3efdeef66b8bd36ee57dda4eae4115c2acc3eb# is our first step to proceed further. He will be online waiting for you whenever you are ready.",0,0,0,,,,,,1
4750,Call Center Representative I,"US, NC, Charlotte",CSR,30000-45000,"As the industry’s largest supply contracting company, Novation serves the purchasing needs of more than 65,000 VHA, UHC and Provista member organizations and their affilliates. Novation delivers unmatched supply savings and value through its sourcing services, as well as information and data services. Through its affiliation with VHA, UHC and Provista, Novation represents the largest purchasing volume in the industry more than $40 billion in annual purchases.To help our alliance members meet the needs of their communities, our mission is to deliver to them unmatched savings and value. One of the ways we deliver on our mission is by facilitating the introduction of products and services that are designed to help members drive sustainable results, improve quality and reduce costs.","Call Center Rep - Oversees the service delivery by providing necessary technical expertise and guidance to cross functional project teams  - Develops and builds strategic relationship with client  - Acts as Customer Service advocate &amp; primary point of contact for Contact Center technology for assigned projects  - Assist with service issue resolution by managing third party technology vendors  -  Maintains and reviews Open Action Items for assigned projects on daily basis  - Complex Change Management  * Process and systems management experience  * Good written and verbal Communication Skills  * Able to identify problems, analyze and provide solutions for various contact center technologies * Ability to lead, support and work within Project Teams  * Excellent abilities in coordinating multiple requests across multiple organizations.  * Ability to multi-task  * High degree of structure and well organized  * Attention to detail","High School DiplomaExcellent communication skills, with both written and spoken language",FULL- TIME BENEFITS,0,1,1,Full-time,Associate,High School or equivalent,Consumer Services,Customer Service,1
